title,description,publishedAt,source,url,lat,lon
“I think he should do little jail time”: Quinton Rampage Jackson cuts off son Raja Jackson after Syko Stu assault in Los Angeles,"Ex-UFC champ Quinton “Rampage” Jackson wants his son jailed after Raja Jackson's brutal attack on wrestler Stuart “Syko Stu” Smith in Los Angeles. The assault, at a KnokX Pro Wrestling event, left Smith hospitalized with serious injuries. Rampage, who has cut…",2025-09-04T12:59:36Z,The Times of India,https://timesofindia.indiatimes.com/sports/international-sports/i-think-he-should-do-little-jail-time-quinton-rampage-jackson-cuts-off-son-raja-jackson-after-syko-stu-assault-in-los-angeles/articleshow/123700139.cms,,
"WWE Clash in Paris 2025 full results & highlights: Seth Rollins retains title with wife Becky Lynch's help, John Cena wins, Roman Reigns hospitalized & more","WWE Clash in Paris delivered a night of unforgettable moments, highlighted by Roman Reigns' victory over Bronson Reed and subsequent attack, leading to a brutal assault by Bron Breakker and Jey Uso's intervention. Seth Rollins retained his title in a chaotic …",2025-08-31T21:53:35Z,The Times of India,https://timesofindia.indiatimes.com/sports/wwe/top-stories/wwe-clash-in-paris-2025-full-results-highlights-seth-rollins-retains-title-with-wife-becky-lynchs-help-john-cena-wins-roman-reigns-hospitalized-more/articleshow/123621887.cms,,
"Raja Jackson, Ex-UFC champion Rampage Jackson’s son, under LAPD lens for brutal attack on wrestler during event; shocking video emerges","Raja Jackson, son of Quinton ""Rampage"" Jackson, is under LAPD investigation for a violent attack on wrestler Syko Stu at a KnokX Pro event in Los Angeles. He reportedly continued assaulting Stu after he was KO'd, leading to hospitalization. Rampage Jackson ap…",2025-08-25T06:52:33Z,The Times of India,https://economictimes.indiatimes.com/news/international/us/raja-jackson-ex-ufc-champion-rampage-jacksons-son-under-lapd-lens-for-brutal-attack-on-wrestler-during-event-shocking-video-emerges/articleshow/123496865.cms,,
"Manipur: Residents denounce murderous attack on Assam Rifles, hold protests","In Manipur's Bishnupur district, an ambush by unidentified gunmen resulted in the death of two Assam Rifles jawans and injuries to five others. Residents of Nambol Sabal Leikai strongly condemned the attack, holding protests and demanding safety.",2025-09-20T14:12:02Z,The Times of India,https://economictimes.indiatimes.com/news/india/manipur-residents-denounce-murderous-attack-on-assam-rifles-hold-protests/articleshow/124016776.cms,,
“The sh*t that needs to stop”: Antonio Brown condemns political violence following Charlie Kirk’s tragic death,"Antonio Brown voiced his concern over the attack on Charlie Kirk and the increasing political hostility in the U.S. He shared his own experiences of being targeted for his beliefs, emphasizing the risks associated with expressing personal or political views. …",2025-09-11T00:01:17Z,The Times of India,https://timesofindia.indiatimes.com/sports/nfl/news/the-sht-that-needs-to-stop-antonio-brown-condemns-political-violence-following-charlie-kirks-tragic-death/articleshow/123819228.cms,,
Hamas warns hostages face fate of missing pilot if Israel assault continues,"Hamas' armed wing released unsettling ""farewell"" photographs of remaining Gaza hostages, cautioning that Israel's Gaza City assault endangers them. Referencing missing Israeli pilot Ron Arad, the group blamed Netanyahu's actions for the hostages' peril. Israe…",2025-09-20T14:07:31Z,The Times of India,https://economictimes.indiatimes.com/news/defence/hamas-warns-hostages-face-fate-of-missing-pilot-if-israel-assault-continues/articleshow/124016724.cms,,
Assam Rifles jawan killed in attack in Manipur,"In Manipur, Assam Rifles faced an attack by gunmen in Bishnupur district. One soldier died, another was injured. Security forces have intensified operations, recovering arms and ammunition in Churachandpur, Chandel, and Tengnoupal. Earlier, Prime Minister Nar…",2025-09-19T14:52:17Z,The Times of India,https://economictimes.indiatimes.com/news/india/assam-rifles-jawan-killed-in-attack-in-manipur/articleshow/124001078.cms,,
Drones attack Russia's oil loading Primorsk port for first time,"A drone attack struck Russia's Primorsk port, igniting a vessel and pumping station, marking the first assault on a major oil export terminal. Ukraine has intensified attacks on Russian energy infrastructure since August, while Russia's crude export plans hav…",2025-09-12T09:47:46Z,The Times of India,https://economictimes.indiatimes.com/news/defence/drones-attack-russias-oil-loading-primorsk-port-for-first-time/articleshow/123849155.cms,,
"""It’s going to get a lot worse"": Joe Rogan reacts to Charlie Kirk’s shooting, says attack could lead to violent conflict","Joe Rogan has voiced concerns over the Charlie Kirk shooting incident, cautioning about potential widespread unrest. On his podcast, Rogan emphasized that such violence against public figures could ignite broader conflict, particularly among devoted followers…",2025-09-12T09:32:31Z,The Times of India,https://timesofindia.indiatimes.com/sports/international-sports/its-going-to-get-a-lot-worse-joe-rogan-reacts-to-charlie-kirks-shooting-says-attack-could-lead-to-violent-conflict/articleshow/123848431.cms,,
"EU and UK offices struck, 18 killed as Russian air strikes pound Ukraine","At least 18 people, including four children, were killed in the capital, officials from the city administration said. As the sun rose, rescuers dug through a wrecked block on Kyiv's left bank and pulled at least two bodies from the rubble. The strikes damaged…",2025-08-28T17:50:03Z,The Times of India,https://economictimes.indiatimes.com/news/defence/eu-and-uk-offices-struck-18-killed-as-russian-air-strikes-pound-ukraine/articleshow/123569721.cms,,
